rank,rating,prospect,position,state,school,status
670,0.8638,Maddox Kopp,QB,TX,Ole Miss,CB
675,0.8635,Demarko Williams,CB,GA,Ole Miss,X
701,0.8626,Jibran Hawkins,SDE,GA,Ole Miss,X
888,0.8541,Joseph McKay,RB,AL,Ole Miss,Offer
960,0.8519,Cameron Brady,WR,TX,Ole Miss,CB
976,0.8519,Elijah Sabbatini,S,MS,Ole Miss,X
1030,0.8498,Trey Washington,CB,AL,Ole Miss,X
1113,0.8466,Patrick Tukes,DT,GA,Ole Miss,Warm
1161,0.8445,Kamron Scott,OG,TX,Ole Miss,CB
1232,0.8416,Ty Cooper,WDE,MS,Ole Miss,CB
1249,0.841,Micah Pettus,OT,AL,Ole Miss,X
1292,0.8396,Joshua McCray,RB,AL,Ole Miss,Offer
1358,0.8366,Jacques Hunter,SDE,GA,Ole Miss,Offer
1480,0.8315,Josiah Perryman,OLB,MS,Ole Miss,Warm
3000,0.87,Jalen Williams,DT,JUCO,Ole Miss,CB
4000,0.85,Jalen Shead,TE,MS,Ole Miss,Warm
5000,0.87,Joseph Perryman,OLB,MS,Ole Miss,Warm
28,0.9837,Troy Franklin,WR,CA,Oregon,X
51,0.9747,Dont'e Thornton,WR,MD,Oregon,CB
58,0.9722,Kingsley Suamataia,OT,UT,Oregon,CB
59,0.972,Ty Thompson,QB,AZ,Oregon,X
86,0.9616,Bram Walden,OT,AZ,Oregon,X
98,0.9543,Keith Brown,ILB,OR,Oregon,X
127,0.9418,Jaylin Davies,CB,CA,Oregon,X
129,0.941,Kyron Ware-Hudson,WR,CA,Oregon,X
138,0.9383,Isaiah Brevard,WR,MS,Oregon,X
149,0.9347,Moliki Matavao,TE,NV,Oregon,X
151,0.9321,Jonathan Flowe,OLB,CA,Oregon,CB
167,0.9267,Seven McGee,RB,NY,Oregon,X
265,0.9046,Terrance Ferguson,TE,CO,Oregon,X
266,0.9046,Jonah Miller,OG,AZ,Oregon,X
295,0.8985,Jackson Light,OC,UT,Oregon,X
312,0.8958,Keanu Williams,SDE,CA,Oregon,X
500,0.8742,Christian Burkhalter,WDE,AL,Oregon,X
608,0.8668,Terrell Tilmon,WDE,TX,Oregon,X
646,0.8647,Darren Barkins,CB,CA,Oregon,X
881,0.8547,Brandon Buckner,OLB,AZ,Oregon,X
2500,0.8789,Jadarrius Perkins,CB,JUCO,Oregon,X
3000,0.84,Tye Edwards,RB,JUCO,Oregon,Offer
4000,0.85,Jaden Genova,WDE,CA,Oregon,Offer
399,0.8843,Damir Collins,RB,OR,Oregon State,X
414,0.881,Easton Mascarenas,ILB,CA,Oregon State,X
941,0.8526,Shafeek Smith,CB,PA,Oregon State,Offer
1189,0.8431,Marco Notarainni,OLB,CA,Oregon State,Warm
1206,0.8424,J.T. Byrne,TE,CA,Oregon State,X
1390,0.8356,Omarion Fa’amoe,WDE,#N/A,Oregon State,
1419,0.8343,Sam Vidlak,QB,OR,Oregon State,X
1467,0.8315,Omega Williams,OT,VA,Oregon State,Offer
1478,0.8315,Ty Robinson,ATH,CO,Oregon State,Offer
1623,0.8248,Henry Buckles,OG,OR,Oregon State,X
1793,0.8139,Semisi Saluni,OLB,CA,Oregon State,X
4000,0.84,Emari Pait,ATH,CA,Oregon State,Offer
4000,0.83,Gabe Milbourn,TE,CA,Oregon State,Offer
4000,0.83,Ilaisa Gonebure,DT,CA,Oregon State,Offer
4000,0.82,Sione Veikoso,OT,HI,Oregon State,X
5000,0.86,Jaylen Martin,CB,FL,Oregon State,CB
45,0.976,Landon Tengwall,OT,MD,Penn State,X
52,0.9747,Derrick Davis Jr.,S,PA,Penn State,CB
302,0.8972,Christian Veilleux,QB,MD,Penn State,X
304,0.897,Jamari Buddin,OLB,MI,Penn State,X
305,0.8969,Zakee Wheatley,S,MD,Penn State,X
314,0.8958,Lonnie White Jr.,ATH,PA,Penn State,X
368,0.8883,Kalen King,CB,MI,Penn State,X
429,0.8793,Diego Pounds,OT,NC,Penn State,Warm
439,0.8784,Rodney McGraw,WDE,IN,Penn State,X
531,0.8721,Kobe King,ILB,MI,Penn State,X
591,0.8681,Jeffrey Davis Jr.,CB,CT,Penn State,X
651,0.8647,Liam Clifford,ATH,OH,Penn State,X
704,0.8622,Braezhon Ross,DT,NV,Penn State,Offer
830,0.8566,Khalil Dinkins,TE,PA,Penn State,Warm
856,0.8552,Nate Bruce,OG,PA,Penn State,X
935,0.8527,Katravis Geter Jr.,RB,FL,Penn State,Warm
983,0.8516,Umari Hatcher,WR,VA,Penn State,Offer
1667,0.8215,Sander Sahaydak,K,PA,Penn State,X
2500,0.9061,De'Jahn Warren,CB,JUCO,Penn State,CB
1458,0.8316,Nick Ostlund,WDE,CA,Pennsylvania,X
116,0.947,Elliot Donald,DT,PA,Pittsburgh,X
254,0.9067,Nahki Johnson,WDE,PA,Pittsburgh,X
425,0.8797,Dorien Ford,DT,PA,Pittsburgh,CB
542,0.871,Rodney Hammond,ATH,VA,Pittsburgh,X
572,0.8694,Khalil Anderson,CB,GA,Pittsburgh,X
586,0.8688,Malik Newton,RB,VA,Pittsburgh,X
682,0.8628,Javon McIntyre,S,PA,Pittsburgh,X
707,0.8621,Terrence Enos,OT,MI,Pittsburgh,X
765,0.8593,Myles Alston,ATH,VA,Pittsburgh,X
865,0.8552,Brandon Honorable,OT,MI,Pittsburgh,X
880,0.8547,Terrence Rankl,OT,OH,Pittsburgh,X
918,0.8533,Emile Aime,ILB,FL,Pittsburgh,Warm
950,0.8519,Nate Yarnell,QB,TX,Pittsburgh,X
968,0.8519,Noah Biglow,CB,FL,Pittsburgh,X
1003,0.8506,Derrveron Maxwell-Black,ILB,FL,Pittsburgh,X
1276,0.841,Jake Renda,TE,NJ,Pittsburgh,CB
1322,0.8377,Jaden Bradley,WR,MD,Pittsburgh,X
1381,0.8357,Stephon Hall,S,PA,Pittsburgh,X
1417,0.8343,Preston Lavant,OLB,GA,Pittsburgh,X
1519,0.8302,Marco Fugar,OG,FL,Pittsburgh,X
4000,0.82,Trey Andersen,TE,UT,Pittsburgh,X
5000,0.88,Tyrique Owens,SDE,FL,Pittsburgh,Offer
5000,0.86,James Ziglor III,ATH,GA,Pittsburgh,Warm
1696,0.8204,Derek Spearman,ATH,NC,Princeton,X
1941,0.7982,Avery Shunneson,ILB,CO,Princeton,X
235,0.9101,Yanni Karlaftis,OLB,IN,Purdue,CB
329,0.8927,Sam Jackson,QB,IL,Purdue,X
611,0.8668,Preston Terrell,WR,IN,Purdue,X
637,0.8653,Marquael Parks,ATH,OH,Purdue,Offer
893,0.854,Deion Burks,WR,MI,Purdue,X
915,0.8535,A.J. Kirk,S,OH,Purdue,Offer
961,0.8519,Jaelin Alstott-VanDeVanter,OT,IN,Purdue,X
988,0.8513,Zach Richards,OG,IN,Purdue,X
1227,0.8416,Da'Veawn Armstead,S,LA,Purdue,Offer
1288,0.8397,Tristan Cox,ILB,KY,Purdue,X
1323,0.8377,Khordae Sydnor,SDE,NY,Purdue,X
1504,0.8309,Brandon Calloway,CB,GA,Purdue,X
1747,0.8165,Blake Nelson,TE,MI,Purdue,Offer
1827,0.8104,Kenjuan Manuel,DT,DC,Purdue,Offer
4000,0.84,Breylon Charles,WDE,LA,Purdue,Offer
5000,0.86,Rickey Smith,OLB,FL,Purdue,X
949,0.8519,DJ Arkansas,OLB,TX,Rice,X
1343,0.837,Ethan Onianwa,OG,TX,Rice,X
1428,0.8336,Kenny Seymour,ILB,TX,Rice,X
1574,0.8269,Jaggar Hebeisen,TE,TX,Rice,X
1622,0.8248,Elroyal Morris,DT,TX,Rice,X
1637,0.8228,Shawqi Itraish,QB,FL,Rice,X
1719,0.8186,Blake Boenisch,DT,TX,Rice,X
1739,0.8173,Aidan Siano,ILB,TX,Rice,X
1895,0.8051,Faaeanuu Pepe,OT,CA,Rice,X
1945,0.7953,Joshua Williams,DT,DC,Rice,X
323,0.894,Khayri Banton,OLB,NJ,Rutgers,X
528,0.8721,Keshon Griffin,WDE,NJ,Rutgers,X
559,0.8702,Carnell Davis,WR,NJ,Rutgers,X
566,0.8701,Alijah Clark,CB,NJ,Rutgers,X
582,0.8688,Ryan Keeler,SDE,IL,Rutgers,CB
654,0.8646,Jordan Thompson,ATH,NJ,Rutgers,X
781,0.8581,Tyler Needham,OT,PA,Rutgers,X
876,0.8548,James Wilborn Jr.,OLB,CT,Rutgers,Offer
887,0.8544,Shaquan Loyal,CB,NJ,Rutgers,X
912,0.8538,Henry Hughes,WDE,FL,Rutgers,X
1018,0.8499,Al-Shadee Salaam,RB,NJ,Rutgers,X
1031,0.8497,Cam'Ron Stewart,SDE,PA,Rutgers,X
1049,0.8485,Max Patterson,WR,VA,Rutgers,X
1065,0.8478,Kyonte Hamilton,ATH,MD,Rutgers,X
1098,0.8471,Albert Reese,OT,FL,Rutgers,X
1197,0.843,Kevin Toth Jr.,OT,OH,Rutgers,X
1242,0.841,Zaire Angoy,DT,NJ,Rutgers,X
1243,0.841,Desmond Igbinosun,S,NJ,Rutgers,X
1313,0.8384,Brayden Fox,WR,OH,Rutgers,X
1337,0.8376,Noah Bodden,QB,NY,Rutgers,Offer
1485,0.8315,Curtis Nixon,TE,DC,Rutgers,Offer
1588,0.8265,Shawn Munnerlyn,ATH,OH,Rutgers,X
1618,0.8248,Austin Dean,ILB,FL,Rutgers,X
1673,0.8209,Shawn Williams,SDE,PA,Rutgers,CB
1720,0.8181,Gus Zilinskas,OC,CO,Rutgers,X
2012,0.7731,Zack Taylor,LS,NJ,Rutgers,X
1984,0.7882,Dorian Hale,QB,CA,Sacramento State,X
555,0.8702,Noah Avinger,CB,CA,San Diego State,Warm
1104,0.8466,James Bohls,RB,CA,San Diego State,Offer
1139,0.8459,Zyrus Fiaseu,OLB,NV,San Diego State,X
1140,0.8456,William Haskell,QB,AZ,San Diego State,X
1207,0.8424,Phillippe Wesley,WR,CA,San Diego State,X
1270,0.841,New Zealand Williams,S,CA,San Diego State,X
1385,0.8356,Dominic Oliver,OLB,CA,San Diego State,X
1401,0.8356,Cam Davis,RB,TX,San Diego State,X
1457,0.8316,DJ Herman,ILB,NV,San Diego State,X
1560,0.8282,Herman Smith,ATH,CA,San Diego State,X
1709,0.8194,Christian Jones,OT,CA,San Diego State,X
1734,0.8173,JP Murphy,TE,CA,San Diego State,X
1790,0.8139,Brady Anderson,ILB,#N/A,San Diego State,
1797,0.8128,Darrion Dalton,DT,AZ,San Diego State,X
1834,0.8104,Cameron Harpole,TE,TX,San Diego State,X
4000,0.83,Champion Johnson,ATH,CA,San Diego State,Offer
1491,0.8315,Bryun Parham,OLB,CA,San Jose State,X
1600,0.8261,Kavon Baptiste,CB,CA,San Jose State,X
1629,0.8241,Branden Alvarez,WR,CA,San Jose State,X
39,0.9778,Savion Byrd,OT,TX,SMU,CB
93,0.9562,Preston Stone,QB,TX,SMU,X
465,0.8763,Dylan Goffney,WR,TX,SMU,X
557,0.8702,Isaiah Nwokobia,S,TX,SMU,X
722,0.8614,Montaye Dawson,RB,TX,SMU,X
747,0.86,Remington Strickland,OC,TX,SMU,Offer
860,0.8552,Brandon Epton Jr.,RB,TX,SMU,X
892,0.854,Braylen Jackson,SDE,TX,SMU,CB
916,0.8535,KJ Liggins,WR,TX,SMU,Offer
1009,0.8505,Trevion Sneed,ILB,TX,SMU,X
1023,0.8498,Jadarius Thursby,S,TX,SMU,X
1063,0.848,Aaron Dumas,RB,TX,SMU,Offer
1122,0.8465,Izaiah Kelley,OLB,TX,SMU,X
1149,0.8452,Stone Eby,SDE,TX,SMU,X
1209,0.8424,Jaymond Jackson,OLB,TX,SMU,Warm
1449,0.8322,Bryce McMorris,S,TX,SMU,X
1496,0.8315,Jayleen Record,WR,TX,SMU,X
3000,0.83,Jordan Wright,CB,JUCO,SMU,Offer
1089,0.8476,Jaylen Hughey,ATH,AL,South Alabama,X
1455,0.8317,Dillon Simon,QB,LA,South Alabama,X
1526,0.8298,Malik Franklin,CB,FL,South Alabama,X
1708,0.8199,Cole Daniels,DT,MS,South Alabama,X
1820,0.8114,Travis Crum,WR,AL,South Alabama,X
1831,0.8104,Reid Gavin,OT,MS,South Alabama,X
1848,0.8093,Jason Brooks,ATH,AL,South Alabama,X
1904,0.8043,Dalton Hughes,OLB,MS,South Alabama,X
1930,0.8003,Thurman Rayborn,DT,MS,South Alabama,X
152,0.9321,Michael Trigg,TE,FL,South Carolina,CB
283,0.9009,Tyrion Ingram-Dawkins,DT,SC,South Carolina,CB
337,0.8913,Trenilyas Tatum,OLB,GA,South Carolina,X
342,0.8903,George Wilson,WDE,VA,South Carolina,X
364,0.8884,Bryce Steele,ILB,NC,South Carolina,X
383,0.8863,Bryson Nesbit,TE,NC,South Carolina,CB
538,0.8714,Jayden Johnson,ATH,GA,South Carolina,X
571,0.8695,Colten Gauthier,QB,GA,South Carolina,X
609,0.8668,T.J. Sanders,DT,SC,South Carolina,X
643,0.8648,Simeon Price,WR,FL,South Carolina,X
694,0.8627,Elijah Davis,SDE,SC,South Carolina,Warm
751,0.8594,Antario Brown,RB,GA,South Carolina,X
803,0.8573,O'Mega Blake,WR,SC,South Carolina,X
805,0.8573,Sam Reynolds,WR,AL,South Carolina,X
869,0.8552,Caleb McDowell,RB,GA,South Carolina,X
991,0.8506,Nicholas Barrett,DT,NC,South Carolina,X
1064,0.848,Aries Scott,WDE,SC,South Carolina,Offer
1097,0.8471,Derwin Burgess Jr.,WR,GA,South Carolina,X
1156,0.8452,JonDarius Morgan,OT,AL,South Carolina,X
1384,0.8356,Jordan Davis,OT,GA,South Carolina,X
2500,0.8317,Marcellas Dial,CB,JUCO,South Carolina,X
4000,0.86,Dontae Balfour,S,FL,South Carolina,CB
5000,0.86,Cedrick Nicely,OT,GA,South Carolina,CB
5000,0.81,Damean Dominguez,K,GA,South Carolina,Offer
882,0.8547,Antonio Outler,RB,FL,South Dakota,X
1106,0.8466,Dorian Singer,WR,AZ,South Dakota State,CB
1876,0.8054,Dalton Allen,TE,LA,Southern Miss,X
639,0.865,Braylon Braxton,QB,TX,Southern Mississippi,Offer
1217,0.8418,Joseph Bray,RB,MD,Southern Mississippi,Offer
71,0.9656,Ceyair Wright,CB,CA,Stanford,Warm
346,0.8897,Ari Patu,QB,CA,Stanford,X
459,0.8768,Josh Moore,S,GA,Stanford,X
480,0.8755,Makai Cope,WR,CA,Stanford,CB
563,0.8702,Shield Taylor,TE,LA,Stanford,X
568,0.87,Jaden Slocum,S,GA,Stanford,Offer
616,0.8667,Jimmy Wyrick,CB,TX,Stanford,X
684,0.8628,Mitch Leigber,S,CA,Stanford,Warm
877,0.8548,Jack Leyrer,OT,TX,Stanford,Warm
996,0.8506,Caleb Ellis,S,TX,Stanford,X
1105,0.8466,Andrew Leingang,OC,ND,Stanford,Warm
1380,0.8357,Brendon Barrow,RB,FL,Stanford,CB
4000,0.8,Anthony Franklin,WDE,AZ,Stanford,Offer
5000,0.81,Connor Weselman,P,GA,Stanford,X
325,0.8934,Duce Chestnut,CB,NJ,Syracuse,X
471,0.8761,Enrique Cruz,OT,IL,Syracuse,Warm
687,0.8628,Josaiah Stewart,WDE,MA,Syracuse,Offer
797,0.8577,TJ Huggins,WR,FL,Syracuse,Offer
857,0.8552,Justin Lamson,QB,CA,Syracuse,X
965,0.8519,Jatius Geer,SDE,SC,Syracuse,X
978,0.8518,Jaelin Moss,DT,NY,Syracuse,X
1056,0.8484,Terry Lockett,DT,MA,Syracuse,X
1070,0.8477,Malik Matthew,OLB,NY,Syracuse,X
1200,0.8427,Joshua Baka,CB,ON,Syracuse,Offer
1240,0.8411,Austin Roon,OLB,MI,Syracuse,X
1247,0.841,Hayden Nelson,WDE,WI,Syracuse,X
1268,0.841,Kalan Ellis,OG,HI,Syracuse,X
1332,0.8376,Derek McDonald,TE,GA,Syracuse,X
1341,0.8376,Cam'Ron Dabney,ATH,GA,Syracuse,Warm
1398,0.8356,Landon Morris,TE,IN,Syracuse,X
1405,0.835,Malcolm Folk,S,PA,Syracuse,X
1429,0.8336,Kendall Long,WR,SC,Syracuse,X
1552,0.8282,Austyn Kauhi,OT,HI,Syracuse,X
1604,0.8255,William Wells,CB,FL,Syracuse,Offer
1634,0.8234,Wes Hoeh,OG,IL,Syracuse,X
1674,0.8208,Tyler Magnuson,OT,MN,Syracuse,X
1716,0.8188,Josh Hough,RB,PA,Syracuse,X
1920,0.8003,Anthony Turner,RB,VA,Syracuse,Warm
3000,0.87,Zykeius Strong,SDE,JUCO,Syracuse,Offer
4000,0.84,Christopher Adams,OT,MD,Syracuse,Warm
387,0.8858,Landyn Watson,WDE,TX,TCU,CB
536,0.8714,Lyrik Rawls,S,TX,TCU,Warm
593,0.8681,Chris Murray,SDE,TX,TCU,X
663,0.864,Chase Jackson,WR,OK,TCU,X
671,0.8636,JJ Henry,WR,TX,TCU,Warm
697,0.8626,Noah Bolticoff,OG,KS,TCU,X
715,0.8614,Trent Battle,QB,AL,TCU,X
716,0.8614,Jasper Lott,OT,TX,TCU,Offer
1043,0.8485,Jacoby Jackson,OT,TX,TCU,X
1114,0.8466,Alexander Honig,QB,GERM,TCU,X
3000,0.86,Anthony Belton,OT,JUCO,TCU,Offer
3000,0.85,Chad Brown,CB,JUCO,TCU,Offer
4000,0.85,Cole Deery,OC,PA,TCU,Offer
633,0.8654,Johnny Martin,RB,NJ,Temple,X
1195,0.843,Jordan Laudato,SDE,PA,Temple,CB
1336,0.8376,Rakim Cooper,DT,NJ,Temple,X
1374,0.8363,Christian Abraham,ATH,NJ,Temple,X
1482,0.8315,Justin Lynch,QB,IL,Temple,X
1493,0.8315,Malichi Lowery,CB,FL,Temple,X
1522,0.8301,Coleman Jeffcoat,WR,NC,Temple,X
1586,0.8265,Bryce Fleetwood,WR,GA,Temple,Offer
1591,0.8265,Jaden Coffen,ATH,DC,Temple,X
1602,0.8256,Malik Cooper,WR,PA,Temple,X
1626,0.8247,Jimto Obidegwu,OT,DC,Temple,CB
1653,0.8215,Luke Foster,TE,CT,Temple,Offer
1656,0.8215,Nic Mitchell,OLB,FL,Temple,X
1799,0.8125,Keshaun Jones,OT,IL,Temple,X
1893,0.8051,Jalen McMurray,CB,DC,Temple,X
1916,0.8011,Jalen Satchell,SDE,MD,Temple,X
10,0.9925,Terrence Lewis,OLB,FL,Tennessee,X
32,0.9823,Dylan Brooks,WDE,AL,Tennessee,X
123,0.9434,Aaron Willis,OLB,MD,Tennessee,X
144,0.9357,Kaemen Marley,ATH,NC,Tennessee,X
157,0.9302,Cody Brown,RB,GA,Tennessee,X
168,0.9266,KaTron Evans,DT,MD,Tennessee,X
210,0.9173,Hudson Wolfe,TE,TN,Tennessee,X
212,0.9171,Kaidon Salter,QB,TX,Tennessee,X
230,0.9121,Julian Nixon,WR,GA,Tennessee,X
247,0.9082,Jordan Mosley,WR,AL,Tennessee,X
375,0.8878,Damarius McGhee,CB,FL,Tennessee,X
403,0.8843,Miles Campbell,TE,GA,Tennessee,X
405,0.8839,William Parker,OT,TN,Tennessee,Warm
426,0.8797,Trinity Bell,ATH,AL,Tennessee,X
448,0.8777,Walker Merrill,WR,TN,Tennessee,X
481,0.8755,Roc Taylor,ATH,AL,Tennessee,X
533,0.8717,Colby Smith,OT,NC,Tennessee,X
551,0.8703,De'Shawn Rucker,S,FL,Tennessee,X
594,0.868,Jaylen Wright,RB,NC,Tennessee,X
649,0.8647,Darrell Jackson,SDE,FL,Tennessee,X
661,0.864,Elijah Howard,RB,TN,Tennessee,X
717,0.8614,Edwin White,S,AL,Tennessee,X
734,0.8606,Isaac Washington,DT,NC,Tennessee,X
821,0.8572,Jay Jones,CB,AL,Tennessee,X
2500,0.8878,Tiyon Evans,RB,JUCO,Tennessee,X
24,0.9866,Ja'Tavion Sanders,ATH,TX,Texas,X
31,0.9827,Billy Bowman,ATH,TX,Texas,X
82,0.9641,Jalen Milroe,QB,TX,Texas,X
147,0.9352,Ketron Jackson,WR,TX,Texas,CB
169,0.9265,Ishmael Ibraheem,CB,TX,Texas,X
170,0.9264,JD Coffey,S,TX,Texas,X
225,0.9129,Jordon Thomas,WDE,TX,Texas,X
233,0.9105,Derrick Harris Jr.,WDE,TX,Texas,X
234,0.9104,Jamier Johnson,CB,CA,Texas,X
313,0.8958,Morice Blackwell,OLB,TX,Texas,X
319,0.8951,Hayden Conner,OT,TX,Texas,X
367,0.8883,Jaden Alexis,WR,FL,Texas,X
417,0.8809,Terrence Cooks,OLB,TX,Texas,CB
495,0.8743,Albert Regis,DT,TX,Texas,CB
497,0.8742,Juan Davis,ATH,TX,Texas,X
554,0.8702,Jonathon Brooks,RB,TX,Texas,X
603,0.8674,Gunnar Helm,TE,CO,Texas,X
759,0.8593,Arden Walker,SDE,CO,Texas,CB
895,0.854,Casey Cain,WR,LA,Texas,X
980,0.8516,Ikechukwu Iwunnah,DT,TX,Texas,Offer
990,0.8507,Michael Myslinski,OC,FL,Texas,X
1926,0.8003,Isaac Pearson,P,AUST,Texas,X
30,0.9832,Tunmise Adeleye,SDE,FL,Texas A&M,Warm
42,0.9777,LJ Johnson,RB,TX,Texas A&M,CB
99,0.9543,Shadrach Banks,WR,TX,Texas A&M,X
135,0.9399,Reuben Fatheree,OT,TX,Texas A&M,X
139,0.9376,Kendal Daniels,S,OK,Texas A&M,X
164,0.9278,Eli Stowers,QB,TX,Texas A&M,X
202,0.9203,Jahzion Harris,WDE,NY,Texas A&M,X
239,0.9097,Dametrious Crownover,TE,TX,Texas A&M,CB
258,0.9063,Trey Zuhn,OT,CO,Texas A&M,X
273,0.9026,Dreyden Norwood,CB,AR,Texas A&M,X
288,0.8992,Yulkeith Brown,ATH,FL,Texas A&M,Warm
301,0.8976,Deuce Harmon,CB,TX,Texas A&M,X
361,0.8886,Jardin Gilbert,S,LA,Texas A&M,Warm
366,0.8883,Amari Daniels,RB,FL,Texas A&M,CB
407,0.8837,Victory Vaka,DT,CA,Texas A&M,X
408,0.883,Matthew Wykoff,OT,TX,Texas A&M,X
652,0.8646,Fernando Garza,TE,TX,Texas A&M,X
685,0.8628,Tyreek Chappell,CB,PA,Texas A&M,X
776,0.8586,Taleeq Robbins,DT,PA,Texas A&M,CB
919,0.8533,Kaci Seegars,OLB,NC,Texas A&M,X
1107,0.8466,Jaden Mosley,S,AL,Texas A&M,Offer
1230,0.8416,Joshua Rudolph,ILB,AL,Texas A&M,Offer
1142,0.8455,Robert Williams,WR,TX,Texas State,Warm
1577,0.8265,Jackson Meeks,WR,AL,Texas State,Offer
4000,0.86,Terrence Williams,RB,LA,Texas State,Offer
184,0.9237,Behren Morton,QB,TX,Texas Tech,X
322,0.894,Jerand Bradley,WR,TX,Texas Tech,X
338,0.8907,Cam'Ron Valdez,RB,TX,Texas Tech,CB
577,0.8689,E'maurion Banks,SDE,TX,Texas Tech,X
664,0.864,Jed Castles,TE,TX,Texas Tech,X
731,0.8607,Mason Tharp,TE,TX,Texas Tech,X
753,0.8593,Nick Martin,ATH,TX,Texas Tech,Offer
838,0.8561,Jack Tucker,OT,TX,Texas Tech,X
984,0.8516,Keith Cooper,WDE,TX,Texas Tech,Warm
1120,0.8465,Charles Esters,SDE,TX,Texas Tech,X
1364,0.8366,Roddrell Freeman,ILB,TX,Texas Tech,Offer
1481,0.8315,Daine Hanson,SDE,IL,Texas Tech,Offer
2500,0.8317,Demeco Roland,DT,JUCO,Texas Tech,X
3000,0.87,DeShawn Page,ILB,JUCO,Texas Tech,CB
3000,0.86,Tavareon Scott,OLB,JUCO,Texas Tech,Offer
3000,0.85,Caleb Etienne,OT,JUCO,Texas Tech,Offer
3000,0.83,Logan Applewhite,WDE,JUCO,Texas Tech,Offer
5000,0.86,Javione Carr,CB,TX,Texas Tech,Offer
5000,0.82,James Burnett,S,OK,Texas Tech,Offer
772,0.8592,Willie Shaw,RB,IL,Toledo,X
818,0.8572,Jaylin Mines,S,MI,Toledo,X
1008,0.8505,Dalen Stovall,WR,OH,Toledo,X
1378,0.8357,Thomas Zsiros,WR,OH,Toledo,X
1437,0.8323,Doran Ray,DT,MI,Toledo,X
1505,0.8307,Rajon Hill,CB,MO,Toledo,X
1564,0.8281,Jeremiah Peters,WDE,FL,Toledo,X
1584,0.8265,Jamarion McDougle,WR,FL,Toledo,Offer
1597,0.8261,Willie Jones,S,IL,Toledo,X
1609,0.8255,Steve Smith,ATH,PA,Toledo,Offer
1616,0.8254,Jalen Riven,OLB,OH,Toledo,X
1628,0.8242,Esean Carter,DT,MI,Toledo,X
1632,0.8234,Clarence Wilson,SDE,MI,Toledo,X
1782,0.814,Elijah Wesley,QB,OH,Toledo,X
1786,0.8139,Vontrell Chairse,WDE,IL,Toledo,X
1825,0.8106,Riley Starnes,OT,OH,Toledo,X
1932,0.8003,Drew Beckenhaupt,OG,OH,Toledo,X
1973,0.7898,Xavier Black,WR,OH,Toledo,X
588,0.8683,Jarris Williams,RB,AL,Troy,X
1108,0.8466,Ivan Shultz,OC,AL,Troy,X
1302,0.839,Justin Bradford,CB,GA,Troy,X
1314,0.8382,Marlen Sewell,CB,AL,Troy,Offer
1452,0.8317,Quayde Hawkins,QB,GA,Troy,X
1488,0.8315,Phillip Lee,WDE,FL,Troy,X
1541,0.8286,Peyton Higgins,WR,AL,Troy,X
1649,0.8215,Logan Weedman,OT,KY,Troy,Offer
1698,0.8204,Carson Casteel,ILB,AL,Troy,X
1772,0.8154,Lawson Chandler,OT,GA,Troy,X
1774,0.8154,Damien Taylor,RB,AL,Troy,X
1863,0.8073,Caleb Ransaw,CB,AL,Troy,X
1906,0.8032,Sterling Roberts,S,FL,Troy,X
336,0.8914,Ty Keyes,QB,MS,Tulane,X
595,0.868,Kanarius Johnson,WR,MS,Tulane,X
903,0.854,Iverson Celestine,RB,LA,Tulane,X
1168,0.8444,Kolby Phillips,CB,TN,Tulane,X
1284,0.8399,Xavier Franks,WR,MS,Tulane,CB
1445,0.8322,Hutson Lillibridge,OG,MO,Tulane,X
1473,0.8315,Jaden Handy,RB,LA,Tulane,X
1693,0.8204,Donald Lee,CB,TX,Tulane,X
1703,0.8204,Mandel Eugene,OLB,LA,Tulane,X
1737,0.8173,Bailey Despanie,CB,LA,Tulane,X
1756,0.8165,Roderic Lewis,ATH,TN,Tulane,X
1783,0.8139,Billy Wiles,QB,VA,Tulane,X
1833,0.8104,Jaden Williams,WR,TX,Tulane,X
911,0.8539,Bill Jackson,RB,MO,Tulsa,X
1100,0.8468,Ken'Daylon Wilson,ATH,TX,Tulsa,Offer
1454,0.8317,Lamont Vaz,OG,TX,Tulsa,Offer
1575,0.8269,Marquis Shoulders,RB,TX,Tulsa,X
1760,0.816,Isaac Smith,WDE,OK,Tulsa,X
1802,0.8123,Mason Jolley,ILB,TX,Tulsa,X
1889,0.8053,Roderick Hopes,S,TX,Tulsa,X
400,0.8843,Malachi Bennett,WR,AL,UAB,X
995,0.8506,Grayson James,QB,TX,UAB,Offer
1420,0.8342,"Omar Simpson, Jr.",CB,FL,UAB,X
1502,0.8313,Boaz Saint-Vil,DT,FL,UAB,X
1842,0.81,Antwan Massie,CB,FL,UAB,X
1951,0.7953,Cort Bradley,OC,AL,UAB,X
2013,0.7731,Matteo Perez,RB,CA,UC Davis,X
2016,0.7731,Christian Calhoun,CB,CA,UC Davis,X
841,0.8561,Cole Joyce,ILB,AR,UCF,X
939,0.8526,Ethan Mort,OT,FL,UCF,X
1046,0.8485,Ronnie Hamrick II,CB,GA,UCF,X
1050,0.8485,Charlie Browder,TE,NC,UCF,X
1150,0.8452,Davis Mallinger,WR,FL,UCF,X
1183,0.8431,Cale Sanders,ATH,TX,UCF,X
1254,0.841,Nathan Boerboom,TE,VA,UCF,X
1303,0.839,Kadeem Leonard,OLB,NC,UCF,X
1363,0.8366,Anthony Williams,RB,FL,UCF,X
